gamma, g1
1.15,0.0
1.24,0.0
1.34,0.0
1.44,0.0
1.55,0.0
1.68,0.0
1.81,0.0
1.95,0.0
2.1,0.0
2.27,0.0
2.44,0.0
2.63,0.0
2.84,0.0
3.06,0.0
3.3,0.0
3.56,0.0
3.84,0.0
4.14,0.0
4.46,0.0
4.81,0.0
5.19,0.0
5.6,0.0
6.04,0.0
6.51,0.0
7.02,0.0
7.57,0.0
8.16,0.0
8.8,0.0
9.49,0.0
10.2,0.0
11.0,0.0
11.9,0.0
12.8,0.0
13.8,0.0
14.9,0.0
16.1,0.0
17.3,0.0
18.7,0.0
20.2,0.0
21.7,0.0
23.4,0.0
25.3,0.0
27.2,0.0
29.4,0.0
31.7,0.0
34.2,0.0
36.8,0.0
39.7,0.0
42.8,0.0
46.2,2.29872086637603e-05
49.8,0.00028895147489733616
53.7,0.0009485780741579217
57.9,0.002120193608316565
62.4,0.0038624153378532815
67.3,0.0062022412541094885
72.6,0.009120943020749247
78.3,0.012577172362745163
84.4,0.01648580047857024
91.0,0.02075196956080869
98.1,0.02524677028143392
106.0,0.029868048078613534
114.0,0.03444068084634916
123.0,0.038843056011030795
133.0,0.04292923848432646
143.0,0.046577615692626154
154.0,0.049666575062319904
166.0,0.05209882653451969
179.0,0.05377708005033756
193.0,0.05465269058032949
208.0,0.05467701309505149
225.0,0.05387437010922555
242.0,0.05226908413757368
261.0,0.04986115518009589
282.0,0.046772195810402144
304.0,0.043099496087380444
328.0,0.03891602355519679
353.0,0.034392035816905156
381.0,0.029697790475559552
411.0,0.024930577590047943
443.0,0.020292274032562924
478.0,0.01590449237671449
515.0,0.011908303207890217
555.0,0.008420454596755705
599.0,0.005518778590421345
646.0,0.003259216972747731
696.0,0.0016422561940293045
751.0,0.0006360337599802475
809.0,0.00013649795261985273
873.0,0.0
941.0,0.0
1010.0,0.0
1090.0,0.0
1180.0,0.0
1270.0,0.0
1370.0,0.0
1480.0,0.0
1590.0,0.0
1720.0,0.0
1850.0,0.0
2000.0,0.0
2160.0,6.508704939606662e-06
2320.0,4.013214929129669e-05
2510.0,0.00010808925542455908
2700.0,0.00019946894323510554
2910.0,0.0002981940304916954
3140.0,0.00038551185834366817
3390.0,0.0004433994433820234
3650.0,0.00046164132942352193
3940.0,0.0004351297883765441
4250.0,0.00036994544892158946
4580.0,0.0002770334426835571
4940.0,0.0001754626212044935
5330.0,8.566389685087693e-05
5740.0,2.3909031971724026e-05
6190.0,0.0
6680.0,0.0
7200.0,0.0
7760.0,0.0
8370.0,0.0
9020.0,0.0
9730.0,0.0
10500.0,0.0
11300.0,0.0
12200.0,0.0
13200.0,0.0
14200.0,0.0
15300.0,0.0
16500.0,0.0
17800.0,0.0
19200.0,0.0
20700.0,0.0
22300.0,0.0
24000.0,0.0
25900.0,0.0
27900.0,0.0
30100.0,0.0
32500.0,0.0
35000.0,0.0
37800.0,0.0
40700.0,0.0
43900.0,0.0
47400.0,0.0
51100.0,0.0
55100.0,0.0
59400.0,0.0
64000.0,0.0
69000.0,0.0
74400.0,0.0
80300.0,0.0
86600.0,0.0
93300.0,0.0
101000.0,0.0
109000.0,0.0
117000.0,0.0
126000.0,0.0
136000.0,0.0
147000.0,0.0
158000.0,0.0
171000.0,0.0
184000.0,0.0
198000.0,0.0
214000.0,0.0
231000.0,0.0
249000.0,0.0
268000.0,0.0
289000.0,0.0
312000.0,0.0
336000.0,0.0
362000.0,0.0
391000.0,0.0
421000.0,0.0
454000.0,0.0
490000.0,0.0
528000.0,0.0
570000.0,0.0
614000.0,0.0
662000.0,0.0
714000.0,0.0
770000.0,0.0
830000.0,0.0
895000.0,0.0
965000.0,0.0
1040000.0,0.0
1120000.0,0.0
1210000.0,0.0
1300000.0,0.0
1410000.0,0.0
1520000.0,0.0
1640000.0,0.0
1760000.0,0.0
1900000.0,0.0
2050000.0,0.0
2210000.0,0.0
2380000.0,0.0
2570000.0,0.0
2770000.0,0.0
2990000.0,0.0
3220000.0,0.0
3480000.0,0.0
3750000.0,0.0
4040000.0,0.0
4360000.0,0.0
4700000.0,0.0
5070000.0,0.0
5460000.0,0.0
5890000.0,0.0
6350000.0,0.0
6850000.0,0.0
7380000.0,0.0
7960000.0,0.0
8590000.0,0.0
9260000.0,0.0
9980000.0,0.0
10800000.0,0.0
11600000.0,0.0
12500000.0,0.0
13500000.0,0.0
14600000.0,0.0
15700000.0,0.0
16900000.0,0.0
18200000.0,0.0
19700000.0,0.0
21200000.0,0.0
22900000.0,0.0
24700000.0,0.0
26600000.0,0.0
28700000.0,0.0
30900000.0,0.0
33300000.0,0.0
35900000.0,0.0
38800000.0,0.0
41800000.0,0.0
45100000.0,0.0
48600000.0,0.0
52400000.0,0.0
56500000.0,0.0
60900000.0,0.0
65700000.0,0.0
70800000.0,0.0
76400000.0,0.0
82300000.0,0.0
88800000.0,0.0
95700000.0,0.0
103000000.0,0.0
111000000.0,0.0
120000000.0,0.0
129000000.0,0.0
140000000.0,0.0
150000000.0,0.0
162000000.0,0.0
175000000.0,0.0
189000000.0,0.0
203000000.0,0.0
219000000.0,0.0
237000000.0,0.0
255000000.0,2.6511541046977812e-08
