gamma, g1
1.15,0.001013510420176808
1.24,0.002845279569951369
1.34,0.0053041235022983566
1.44,0.008213630602045467
1.55,0.011400386538744199
1.68,0.014729513499823491
1.81,0.018037231284304202
1.95,0.021216494009193426
2.1,0.02414955120319898
2.27,0.02676147074822582
2.44,0.028955911349580334
2.63,0.030679350065766078
2.84,0.03189967313188517
3.06,0.03258476678303975
3.3,0.03273463101922982
3.56,0.03234926584045537
3.84,0.03146078501161428
4.14,0.0301013022976044
4.46,0.028313636051622917
4.81,0.02618342298006414
5.19,0.023764186024424528
5.6,0.021130857302799108
6.04,0.018379778109881492
6.51,0.015585880563766717
7.02,0.012845505959148391
7.57,0.010227163661141979
8.16,0.007814349458481938
8.8,0.005671290880964015
9.49,0.003850440411254731
10.2,0.0023839118142519556
11.0,0.0012920438077243426
11.9,0.0005594217845209125
12.8,0.0001540390256267878
13.8,6.114460836554635e-07
14.9,0.0
16.1,0.0
17.3,0.0
18.7,0.0
20.2,0.0
21.7,0.0
23.4,0.0
25.3,0.0
27.2,0.0
29.4,0.0
31.7,0.0
34.2,0.0
36.8,0.0
39.7,0.0
42.8,0.0
46.2,0.0
49.8,0.0
53.7,0.0
57.9,0.0
62.4,0.0
67.3,0.00011914206777110134
72.6,0.00048149238170207894
78.3,0.001179645630581794
84.4,0.0022511749193407557
91.0,0.0037091398457040985
98.1,0.005524638021263738
106.0,0.007651639716332727
114.0,0.01001628327164596
123.0,0.012535072898468972
133.0,0.015114878678597943
143.0,0.01764116151723046
154.0,0.020038989296271494
166.0,0.02219061154442885
179.0,0.024021096143607493
193.0,0.025455510975712397
208.0,0.026429628510947815
225.0,0.026900630396116593
242.0,0.02684710745462014
261.0,0.026279764274757755
282.0,0.02520930544482872
304.0,0.023678549318030203
328.0,0.021751723424157945
353.0,0.019493055293007686
381.0,0.01700959080757233
411.0,0.014408375850844781
443.0,0.011775047129219361
478.0,0.009227355113988263
515.0,0.006870204770484532
555.0,0.004791373722762351
599.0,0.0030593713359371756
646.0,0.0017245091750156718
696.0,0.0007952438647542783
751.0,0.00025380578857617367
809.0,2.484534944265285e-05
873.0,0.0
941.0,0.0
1010.0,0.0
1090.0,0.0
1180.0,0.0
1270.0,0.0
1370.0,0.0
1480.0,0.0
1590.0,2.1013106831506915e-05
1720.0,8.548684215813255e-05
1850.0,0.00019514464469606266
2000.0,0.0003233856125215608
2160.0,0.0004366401567280525
2320.0,0.0005026874665346738
2510.0,0.0004961576676721067
2700.0,0.0004182282648532731
2910.0,0.00028549136994207304
3140.0,0.00014258511614654716
3390.0,3.9799659296761434e-05
3650.0,0.0
3940.0,0.0
4250.0,0.0
4580.0,0.0
4940.0,0.0
5330.0,0.0
5740.0,0.0
6190.0,0.0
6680.0,0.0
7200.0,0.0
7760.0,0.0
8370.0,0.0
9020.0,0.0
9730.0,0.0
10500.0,0.0
11300.0,0.0
12200.0,0.0
13200.0,0.0
14200.0,0.0
15300.0,0.0
16500.0,0.0
17800.0,0.0
19200.0,0.0
20700.0,0.0
22300.0,0.0
24000.0,0.0
25900.0,0.0
27900.0,0.0
30100.0,0.0
32500.0,0.0
35000.0,0.0
37800.0,0.0
40700.0,0.0
43900.0,0.0
47400.0,0.0
51100.0,0.0
55100.0,0.0
59400.0,0.0
64000.0,0.0
69000.0,0.0
74400.0,0.0
80300.0,0.0
86600.0,0.0
93300.0,0.0
101000.0,0.0
109000.0,0.0
117000.0,0.0
126000.0,0.0
136000.0,0.0
147000.0,0.0
158000.0,0.0
171000.0,0.0
184000.0,0.0
198000.0,0.0
214000.0,0.0
231000.0,0.0
249000.0,0.0
268000.0,0.0
289000.0,0.0
312000.0,0.0
336000.0,0.0
362000.0,0.0
391000.0,0.0
421000.0,0.0
454000.0,0.0
490000.0,0.0
528000.0,0.0
570000.0,0.0
614000.0,0.0
662000.0,0.0
714000.0,0.0
770000.0,0.0
830000.0,0.0
895000.0,0.0
965000.0,0.0
1040000.0,0.0
1120000.0,0.0
1210000.0,0.0
1300000.0,0.0
1410000.0,0.0
1520000.0,0.0
1640000.0,0.0
1760000.0,0.0
1900000.0,0.0
2050000.0,0.0
2210000.0,0.0
2380000.0,0.0
2570000.0,0.0
2770000.0,0.0
2990000.0,0.0
3220000.0,0.0
3480000.0,0.0
3750000.0,0.0
4040000.0,0.0
4360000.0,0.0
4700000.0,0.0
5070000.0,0.0
5460000.0,0.0
5890000.0,0.0
6350000.0,0.0
6850000.0,0.0
7380000.0,0.0
7960000.0,0.0
8590000.0,0.0
9260000.0,0.0
9980000.0,0.0
10800000.0,0.0
11600000.0,0.0
12500000.0,0.0
13500000.0,0.0
14600000.0,0.0
15700000.0,0.0
16900000.0,0.0
18200000.0,0.0
19700000.0,0.0
21200000.0,0.0
22900000.0,0.0
24700000.0,0.0
26600000.0,0.0
28700000.0,0.0
30900000.0,0.0
33300000.0,0.0
35900000.0,0.0
38800000.0,0.0
41800000.0,0.0
45100000.0,0.0
48600000.0,0.0
52400000.0,0.0
56500000.0,0.0
60900000.0,0.0
65700000.0,0.0
70800000.0,0.0
76400000.0,0.0
82300000.0,0.0
88800000.0,0.0
95700000.0,0.0
103000000.0,0.0
111000000.0,0.0
120000000.0,0.0
129000000.0,0.0
140000000.0,0.0
150000000.0,0.0
162000000.0,0.0
175000000.0,0.0
189000000.0,0.0
203000000.0,0.0
219000000.0,0.0
237000000.0,0.0
255000000.0,0.0
